,City Name,Country Code,City Data,City Latitude,City Longitude,City Temperature,City Humidity,City Cloudiness,City Wind Speed
81,Pueblo Nuevo,MX,1663214183,23.3833,-105.3833,57.11,89,96,5.3
82,Sibolga,ID,1663214183,1.7427,98.7792,85.89,61,84,4.56
83,Hīt,IQ,1663214184,33.6416,42.8251,82.42,33,0,8.97
84,Adrar,MR,1663214184,20.5022,-10.0711,90.61,22,19,13.42
85,Chokurdakh,RU,1663214185,70.6333,147.9167,44.96,51,100,4.41
86,Kumul,CN,1663214185,42.8,93.45,80.29,14,0,11.39
87,Avarua,CK,1663214185,-21.2078,-159.775,77.05,65,20,14.97
88,Bredasdorp,ZA,1663214186,-34.5322,20.0403,51.58,91,38,3.51
89,Lata,PT,1663214186,40.1629,-8.3327,65.91,98,93,3.8
90,Waingapu,ID,1663214186,-9.6567,120.2641,87.62,56,17,15.88
91,Punta Arenas,CL,1663214001,-53.15,-70.9167,42.91,65,0,16.11
92,San Cristobal,VE,1663214163,7.7669,-72.225,71.78,95,39,1.92
93,Coromandel,BR,1663214187,-18.4733,-47.2003,73.71,38,58,3.38
94,Batticaloa,LK,1663214187,7.7102,81.6924,82.94,71,7,4.36
95,Souillac,MU,1663214188,-20.5167,57.5167,70.18,73,40,10.36
96,Nsukka,NG,1663214188,6.8561,7.3927,68.29,99,98,3.8
97,Newport,GB,1663214029,51.5877,-2.9984,58.82,78,69,4.74
98,Ostrovnoy,RU,1663214189,68.0531,39.5131,46.78,81,90,7.38
99,Mwinilunga,ZM,1663214189,-11.7358,24.4293,60.69,52,93,8.28
100,Iwanai,JP,1663214189,42.9744,140.5089,71.35,51,100,5.21
101,Bubaque,GW,1663214190,11.2833,-15.8333,77.92,87,100,11.79
102,Lorengau,PG,1663214190,-2.0226,147.2712,83.23,73,22,11.52
103,Thompson,CA,1663213895,55.7435,-97.8558,50.16,81,100,2.3
104,Azle,US,1663214190,32.8951,-97.5459,77.94,57,80,5.99
105,San Vicente,AR,1663214191,-26.6167,-54.1333,51.17,89,96,3.94
106,Tartagal,AR,1663214191,-22.5164,-63.8013,56.03,36,0,4.27
107,Saldanha,ZA,1663214191,-33.0117,17.9442,48.25,91,9,9.95
108,Mildura,AU,1663214173,-34.2,142.15,69.08,51,0,15.48
109,Coari,BR,1663214192,-4.085,-63.1414,79.75,64,100,2.35
110,Bengkulu,ID,1663214192,-3.8004,102.2655,83.26,65,53,4.97
111,Trofors,NO,1663214193,65.5333,13.4063,48.07,93,100,4.45
112,Jatiroto,ID,1663214193,-7.8833,111.1167,84.87,59,69,9.31
